p_val	avg_log2FC	pct.1	pct.2	p_val_adj
4.80807868731683e-67	0.373899054043569	0.678	0.593	1.66450876076221e-62
2.36548335042809e-95	0.373585192399045	0.699	0.603	8.18906681084701e-91
5.63459503597905e-80	0.373278433710269	0.626	0.526	1.95064045550559e-75
3.63176107410093e-34	0.372954814852987	0.648	0.578	1.257279366243e-29
1.79139994391782e-46	0.369807445101879	0.455	0.374	6.20164746584909e-42
1.35105807961808e-76	0.368569505346025	0.736	0.635	4.67722796582985e-72
5.69699712262802e-64	0.366168196955974	0.298	0.193	1.97224343388259e-59
3.55987035532408e-44	0.364274968019015	0.459	0.372	1.23239151830964e-39
1.88135593881982e-91	0.363951009873741	0.682	0.588	6.51306612460035e-87
7.5551524807477e-25	0.363691719727373	0.475	0.428	2.61551823731005e-20
3.1362322417553e-106	0.36317446318943	0.779	0.711	1.08573223977327e-101
5.80495985987657e-16	0.362344525642103	0.757	0.749	2.00961905389067e-11
1.17739551297565e-96	0.362052373113602	0.693	0.59	4.07602552637039e-92
6.01299608523712e-97	0.361305733483782	0.942	0.927	2.08163911474824e-92
4.47978594123222e-57	0.361188031481595	0.471	0.377	1.55085709499518e-52
5.96905702404642e-55	0.360925512658339	0.384	0.288	2.06642785115463e-50
9.40855527306165e-69	0.360177713303052	0.581	0.488	3.25714774998121e-64
5.76317830482883e-40	0.357824656028711	0.325	0.245	1.99515469734869e-35
3.08459082812366e-48	0.357468563709575	0.298	0.211	1.06785449878813e-43
5.93540304778375e-50	0.35651611059104	0.289	0.198	2.05477718111226e-45
6.93884108639489e-36	0.355065599275205	0.52	0.466	2.40215739569905e-31
2.45147094479202e-46	0.353839719713561	0.343	0.256	8.48674726377549e-42
2.03163282489962e-31	0.353827686489484	0.515	0.458	7.03330967652001e-27
2.21657305766655e-38	0.353168371248554	0.586	0.521	7.67355426833585e-34
1.24125992462579e-28	0.352031783324106	0.444	0.388	4.29711773306204e-24
7.88539203101091e-78	0.350209683554368	0.574	0.476	2.72984386721567e-73
9.38245570875917e-65	0.349640003021923	0.398	0.291	3.24811234181534e-60
1.38471839975621e-05	0.349523347848109	0.63	0.634	0.479375662811602
1.34545970049722e-64	0.349383812412153	0.421	0.316	4.65784693715134e-60
1.73417664240555e-24	0.349308962474614	0.266	0.208	6.00354611834377e-20
1.00616643527225e-19	0.348695618505779	0.838	0.895	3.483247582269e-15
3.72811341466909e-93	0.34705048932981	0.778	0.688	1.29063558302429e-88
1.00024863473157e-13	0.344127196728538	0.584	0.573	3.46276074857722e-09
2.35504633045177e-51	0.342809116010314	0.503	0.419	8.15293489139097e-47
1.16494009314755e-101	0.340893827280308	0.744	0.633	4.03290610846749e-97
9.54242699304647e-81	0.340375129959259	0.288	0.168	3.30349280072276e-76
1.15469636425541e-42	0.339260468817034	0.743	0.701	3.99744334341581e-38
6.25537512919797e-95	0.335374715303504	0.752	0.665	2.16554831597704e-90
5.91024423039445e-29	0.33485915192381	0.691	0.65	2.04606745012026e-24
6.51705488864364e-71	0.334043347629225	0.833	0.783	2.25613923189954e-66
4.7101216022387e-24	0.331901443050995	0.353	0.299	1.63059699747902e-19
1.81372517172493e-80	0.327983621857047	0.819	0.774	6.27893517199454e-76
1.19755612346279e-64	0.327805658884247	0.481	0.378	4.14581954381582e-60
2.89325475136075e-52	0.325804936126257	0.49	0.399	1.00161586237358e-47
1.91323339193226e-70	0.325688444935101	0.699	0.631	6.62342267953028e-66
5.60175882171679e-77	0.324573873675948	0.711	0.614	1.93927288649013e-72
5.35744763945875e-55	0.32324366663812	0.668	0.602	1.85469479830422e-50
4.68665006794381e-55	0.323040293972692	0.733	0.687	1.62247138702147e-50
1.43797828843825e-15	0.322714144263388	0.373	0.336	4.97813703674438e-11
4.01254082987123e-44	0.320974986231193	0.624	0.563	1.38910150989312e-39
3.12391266875638e-16	0.320968251279409	0.644	0.724	1.08146732679677e-11
7.36956647069927e-57	0.32055627981008	0.551	0.469	2.55127021649138e-52
1.30588418376494e-37	0.3200992687576	0.398	0.316	4.52084045577583e-33
1.31362070499317e-45	0.31871145295866	0.49	0.408	4.54762351861587e-41
4.71317622899595e-31	0.317868093593024	0.435	0.376	1.63165447871611e-26
2.50006201491156e-41	0.317727329063863	0.444	0.369	8.65496468942233e-37
1.59338952612646e-75	0.31601691397027	0.897	0.844	5.51615520049718e-71
7.65137065129264e-22	0.315987830346335	0.494	0.452	2.648828005771e-17
7.55283363857599e-30	0.315877268680796	0.756	0.838	2.61471547733862e-25
2.68858250240376e-46	0.313560804598335	0.656	0.608	9.30760376507156e-42
1.26439785488016e-42	0.311112508455653	0.598	0.529	4.37721893380961e-38
1.32128733349816e-50	0.310458447351444	0.371	0.277	4.57416461983728e-46
7.26286052693089e-20	0.310412744311018	0.331	0.283	2.5143296858182e-15
1.23011091664843e-46	0.309729368741512	0.375	0.287	4.25852098234521e-42
4.1599193578592e-53	0.309510866444346	0.41	0.315	1.44012248249728e-48
1.26061391295405e-22	0.309235818322485	0.306	0.252	4.36411930525562e-18
5.75210586799555e-48	0.308701440127418	0.294	0.206	1.99132153044138e-43
1.04648404946783e-19	0.308463920609977	0.34	0.293	3.62282313085267e-15
1.34377636910177e-61	0.308016766795303	0.322	0.218	4.6520194121934e-57
1.29816629352594e-71	0.307795385568883	0.72	0.652	4.49412189155746e-67
8.15465817304794e-21	0.307582359410777	0.274	0.222	2.82306111292747e-16
4.92690056637278e-59	0.30703200443143	0.489	0.384	1.70564370707259e-54
2.95704094673667e-41	0.306105408982556	0.397	0.301	1.02369800535077e-36
1.02896027284698e-44	0.305800966081193	0.403	0.315	3.56215756856896e-40
9.6658375692129e-60	0.30481218653915	0.412	0.31	3.34621630808581e-55
7.57701467901735e-34	0.304272677697585	0.288	0.215	2.62308671172902e-29
2.33006780841618e-47	0.303603003459677	0.365	0.276	8.06646174595596e-43
1.01629030042554e-55	0.303439907065397	0.399	0.297	3.51829539104318e-51
4.14055465281124e-19	0.302394618945297	0.497	0.457	1.43341861525672e-14
5.7621933260153e-80	0.302322876958995	0.749	0.668	1.99481370753324e-75
1.62319241318312e-65	0.302125738829425	0.583	0.49	5.61932981519866e-61
3.30385546253226e-48	0.302018694238321	0.446	0.354	1.14376172257404e-43
8.17214442813573e-103	0.301772946278484	0.879	0.812	2.82911467957631e-98
2.57211481246672e-48	0.301505397544408	0.505	0.423	8.90440426927854e-44
3.61291525693762e-54	0.300868469374785	0.532	0.444	1.25075513279923e-49
1.33490927380993e-30	0.299121484360792	0.408	0.344	4.6213224150026e-26
6.40464261170436e-51	0.296582516018454	0.675	0.603	2.21722322574593e-46
7.26588612322822e-45	0.296576130110051	0.583	0.512	2.51537711700038e-40
1.39693158391103e-38	0.296246808320135	0.371	0.294	4.83603745034161e-34
3.85111255440952e-47	0.295270575897356	0.549	0.47	1.33321665521103e-42
1.33662373191022e-47	0.295262048946784	0.318	0.23	4.62725769749997e-43
1.94258222006755e-29	0.29502733735913	0.593	0.551	6.72502538765185e-25
3.41515087717395e-25	0.294658934777315	0.698	0.674	1.18229108216885e-20
4.1101966157099e-33	0.294360517090046	0.393	0.327	1.42290896639261e-28
5.67314847003101e-42	0.292392198982402	0.631	0.576	1.96398726884004e-37
5.43229733050701e-08	0.292087419721332	0.254	0.23	0.00188060701284822
1.14085768670303e-43	0.291741972186512	0.47	0.395	3.94953522559721e-39
1.85436599098757e-67	0.290831986195898	0.815	0.779	6.41962962419988e-63
8.41510054782535e-39	0.290805305450573	0.56	0.495	2.91322365865166e-34
1.32874292833826e-35	0.290543652999035	0.625	0.559	4.59997514361422e-31
2.04954995489791e-45	0.290315800155354	0.294	0.209	7.09533698886107e-41
5.78459989573911e-44	0.290237211312711	0.458	0.377	2.00257063790592e-39
8.02260574935267e-29	0.289671852302692	0.394	0.334	2.7773458843684e-24
2.37731699576168e-59	0.288888694928779	0.682	0.597	8.23003370762736e-55
5.18934886721371e-41	0.288530517003282	0.523	0.46	1.79650068434071e-36
5.71083533289506e-27	0.287674418774945	0.282	0.219	1.97703408389494e-22
5.00952897446782e-32	0.287027545448277	0.325	0.255	1.73424883567101e-27
4.80004089451655e-39	0.28646520790164	0.389	0.302	1.66172615727268e-34
2.06412204982872e-23	0.2860828604046	0.264	0.209	7.14578412430206e-19
1.12723538447402e-60	0.285632273870447	0.948	0.937	3.9023761775106e-56
5.76612635161545e-46	0.285599969712732	0.328	0.242	1.99617528166575e-41
1.95296897185393e-51	0.284539091203328	0.616	0.548	6.76098328366111e-47
2.65321835992274e-39	0.284435015285755	0.257	0.179	9.18517664021655e-35
1.7529615336312e-40	0.284095964048885	0.592	0.525	6.06857753327786e-36
3.10042572479935e-27	0.284030269819232	0.371	0.304	1.07333638166829e-22
4.41775388301303e-36	0.282336477792758	0.258	0.181	1.52938221676028e-31
9.36464341337676e-33	0.282268757120418	0.583	0.534	3.2419459032769e-28
1.00474818213442e-52	0.281572015871107	0.422	0.325	3.47833773173116e-48
1.90051545778771e-42	0.281147890026482	0.487	0.411	6.57939446331528e-38
5.59195975441098e-38	0.279284965642442	0.295	0.215	1.93588054737954e-33
3.16405298123258e-55	0.278505254295413	0.396	0.295	1.09536350157291e-50
3.27613771664798e-71	0.278047760769368	0.828	0.771	1.13416611612636e-66
2.14346986592687e-52	0.277056477192485	0.325	0.228	7.42047832885223e-48
7.46681412189268e-45	0.276475432852546	0.667	0.607	2.58493638085803e-40
3.67731609114701e-46	0.274177201821319	0.587	0.51	1.27305005759418e-41
6.96589905585725e-40	0.273615716443274	0.608	0.555	2.41152459414722e-35
1.29164004688162e-50	0.27336676465316	0.36	0.266	4.47152867829947e-46
1.56082247709973e-50	0.273234033782696	0.439	0.348	5.40341133347156e-46
2.39521417565429e-39	0.272953030567561	0.467	0.392	8.2919919546976e-35
8.18450416227642e-51	0.27253996732918	0.321	0.226	2.83339349593847e-46
1.46759346627219e-18	0.271882641539287	0.476	0.437	5.08066182088771e-14
1.82223169053512e-40	0.271757987266201	0.332	0.249	6.30838388946355e-36
2.93267652965857e-41	0.271654326567342	0.385	0.301	1.0152632878025e-36
1.81356336346159e-32	0.271549876893497	0.554	0.499	6.27837500796769e-28
1.09247575971699e-16	0.270338342555467	0.361	0.311	3.78204183256426e-12
6.87363577356459e-46	0.269939038163842	0.602	0.532	2.37958396845033e-41
1.36508281421897e-48	0.269665127889711	0.484	0.397	4.72578019454464e-44
2.24623378149904e-52	0.269080730186101	0.639	0.561	7.77623672817152e-48
2.06613296424781e-20	0.268657182828476	0.322	0.258	7.15274570892948e-16
1.12602058521578e-46	0.268572646649077	0.425	0.334	3.89817066395849e-42
1.39327284978946e-39	0.268494938828211	0.385	0.303	4.82337127868612e-35
5.45811461406063e-28	0.268318112753123	0.308	0.245	1.88954469824165e-23
1.15422974926482e-22	0.26801053817055	0.293	0.24	3.99582796897988e-18
7.54633787032381e-42	0.267414500497342	0.444	0.364	2.6124667073274e-37
3.61497747007642e-66	0.26721521444918	0.86	0.821	1.25146905036575e-61
1.17736010464135e-36	0.266898868488153	0.534	0.464	4.0759029462579e-32
1.29675013226101e-26	0.266829705089611	0.311	0.251	4.4892192828744e-22
9.79046940595238e-24	0.266542044447057	0.353	0.296	3.38936260364665e-19
2.79232400471475e-27	0.266153204371157	0.372	0.308	9.66674647192199e-23
1.30662988064548e-28	0.265991268417862	0.442	0.378	4.52342198380658e-24
4.46904649336165e-69	0.264622908510332	0.889	0.858	1.54713920553687e-64
1.25454199038748e-48	0.264542929920248	0.411	0.317	4.34309891652242e-44
2.95895267548885e-34	0.263717095840096	0.679	0.644	1.02435982672749e-29
5.98510243645202e-37	0.26367778089644	0.602	0.544	2.07198261247532e-32
5.91034122629697e-20	0.262525346523314	0.488	0.448	2.04610102913175e-15
2.73267045631803e-44	0.262322801156797	0.393	0.306	9.4602318527274e-40
2.41405136648256e-49	0.261817026671459	0.872	0.851	8.35720442562597e-45
1.06009323698977e-26	0.259846611543206	0.402	0.341	3.66993677713487e-22
3.1257141246544e-33	0.259773031785955	0.35	0.271	1.08209097281411e-28
2.92248622483094e-22	0.259762539307088	0.653	0.612	1.01173550617422e-17
3.81935101883193e-39	0.259505509997437	0.265	0.189	1.32222112920942e-34
1.96755120723953e-06	0.259412984754373	0.256	0.237	0.0681146552434254
5.81097667862707e-34	0.259297029265327	0.279	0.205	2.01170201637391e-29
3.32315172664585e-42	0.258050517244832	0.508	0.433	1.15044189624753e-37
5.97173387610021e-17	0.257440740917367	0.394	0.351	2.06735455056713e-12
8.24986769075695e-37	0.256569043415473	0.523	0.459	2.85602169586315e-32
3.09439248463028e-42	0.256102842771697	0.656	0.589	1.07124773425416e-37
5.36892339728729e-46	0.255688408458656	0.254	0.169	1.85866759090689e-41
7.33927463489455e-40	0.255370100997572	0.341	0.261	2.54078348585414e-35
2.38729938282501e-13	0.25420277341611	0.476	0.451	8.2645917334019e-09
2.00358077737178e-37	0.25377374633359	0.305	0.227	6.93619629318337e-33
3.76068874132989e-43	0.25355972350357	0.681	0.626	1.30191283536099e-38
1.23696694939971e-14	0.253375353915384	0.35	0.311	4.28225588212686e-10
2.7914589899192e-35	0.253234813403626	0.313	0.237	9.66375187720127e-31
5.30773755037213e-17	0.252152706834721	0.576	0.542	1.83748566256333e-12
3.02171162139922e-49	0.251734908861769	0.251	0.162	1.0460863462122e-44
5.83575834438204e-36	0.251453269466502	0.388	0.31	2.02028118124162e-31
2.24455924956497e-11	0.251277840467854	0.451	0.433	7.77043966606897e-07
6.0414240026639e-37	0.25123876282611	0.531	0.466	2.09148057548221e-32
1.17151096682007e-42	0.250783848116468	0.455	0.371	4.05565381603442e-38
6.48763803270644e-42	0.250492235725999	0.595	0.53	2.24595541054264e-37
2.32569013813509e-24	0.25012485642188	0.614	0.571	8.05130668920987e-20
5.58660018287461e-66	-0.25001635494052	0.154	0.255	1.93402511730936e-61
1.4250004525674e-50	-0.250496267322619	0.604	0.712	4.93320906674307e-46
5.03870606369245e-75	-0.250603488167255	0.877	0.925	1.74434965218969e-70
1.61780678521071e-43	-0.251960062924083	0.275	0.371	5.60068530972096e-39
3.30274194139498e-41	-0.252073614647645	0.556	0.656	1.14337623269153e-36
7.64670340984365e-46	-0.253355888974878	0.354	0.454	2.64721225345378e-41
2.86420035717358e-28	-0.25379607790871	0.188	0.258	9.91557521649921e-24
2.54503643015669e-77	-0.254607689199265	0.593	0.74	8.81066161755945e-73
2.59099038209417e-61	-0.254896870285432	0.725	0.807	8.96974960377182e-57
7.98676647811537e-73	-0.254940772786075	0.355	0.492	2.76493868705876e-68
3.24398797119227e-84	-0.255230675125989	0.948	0.935	1.12303619574705e-79
3.38266629875539e-67	-0.256010167438114	0.416	0.546	1.17104524596613e-62
8.88841105578581e-59	-0.256332112420744	0.522	0.638	3.07707902340249e-54
6.0058093106556e-57	-0.256458094952341	0.674	0.768	2.07915112525586e-52
7.62718424911673e-48	-0.258343325631627	0.306	0.406	2.64045491520172e-43
1.51737963647266e-86	-0.259240277281959	0.844	0.966	5.2530165635047e-82
2.42719846476821e-61	-0.259615578756253	0.506	0.628	8.40271836518107e-57
1.94057699317702e-59	-0.260459835162234	0.8	0.872	6.71808349267954e-55
1.42425513015904e-56	-0.261518539982665	0.37	0.479	4.93062883509758e-52
4.78109547092694e-63	-0.262600164644696	0.453	0.579	1.6551674410802e-58
9.06758708072619e-59	-0.26272257713748	0.583	0.691	3.1391079714766e-54
9.62873304389295e-63	-0.263224487308862	0.554	0.669	3.3333710924653e-58
7.84184607822495e-60	-0.2647265875936	0.345	0.461	2.7147686938207e-55
7.92624149573043e-66	-0.265106879488397	0.817	0.885	2.74398554340692e-61
5.0195590676055e-82	-0.267196137707317	0.804	0.902	1.73772115361435e-77
7.45693509043047e-70	-0.267870389308616	0.409	0.539	2.58151635895612e-65
2.39040012028476e-66	-0.268232910062107	0.435	0.559	8.27532617641383e-62
2.07700475498431e-67	-0.269437218407422	0.197	0.307	7.19038276128019e-63
1.6345000047394e-105	-0.269690879501881	0.945	0.974	5.65847556640733e-101
2.04490836174978e-80	-0.270868891484454	0.238	0.368	7.07926825754158e-76
