"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"expression"
"ZBED3-AS1"	-2.50906703267653	-0.152143361061127	-7.23172765838752	3.7109764819907e-05	0.000238088168108522	2.65576821364452	"Down"
"CASR"	2.94523619010883	-3.92567818457453	7.23053936945223	3.71595593405258e-05	0.000238352642911801	2.13370291375203	"Up"
"P2RX6"	-3.4030722057947	1.75779059296181	-7.22898470483043	3.72248164635998e-05	0.000238673920458214	2.71622374925159	"Down"
"GNG12"	-0.390613577966453	6.9114993601382	-7.22893716045478	3.72268141058503e-05	0.000238673920458214	1.90046712816718	"Stable"
"DNAJC9"	-0.80336083823742	4.63855913943247	-7.22861079421674	3.72405299818306e-05	0.000238706818043979	2.18263228086276	"Stable"
"CREBBP"	-0.515799562532213	7.02342302450221	-7.22722232142901	3.72989434875215e-05	0.000238893560653173	1.88839342710429	"Stable"
"NPC1"	1.00171315165681	4.7536062171407	7.22711275957969	3.7303557034046e-05	0.000238893560653173	2.17089951887659	"Stable"
"KLF7"	0.744597612721716	5.04327487431548	7.22711188309456	3.73035939445159e-05	0.000238893560653173	2.11974685229767	"Stable"
"SVBP"	-0.839191461906361	2.9663680050946	-7.22710154370614	3.730402935899e-05	0.000238893560653173	2.48763734174088	"Stable"
"ZNF883"	-4.08911161275191	-1.3515380627662	-7.22643317494275	3.73321875839067e-05	0.00023899894339691	2.45567829381031	"Down"
"ACPP"	-2.17854737893897	1.71066933640038	-7.22630297225641	3.73376756856857e-05	0.00023899894339691	2.69097959803851	"Down"
"CHAF1B"	-1.4987821987645	0.664021468659658	-7.22545043967866	3.7373632024784e-05	0.000239174041905902	2.721982729026	"Stable"
"AL513548.1"	-3.1993714914109	-2.66409114613741	-7.22404501028798	3.74329896003279e-05	0.000239498782518803	2.29178125295848	"Down"
"CACNA1G"	-3.00287873205236	1.32674854006224	-7.22229765077982	3.75069315577054e-05	0.000239916664111699	2.71803063304031	"Down"
"RRN3P1"	-1.32370326714082	1.51200353695687	-7.22046150997146	3.75848017605182e-05	0.000240359475104179	2.68789515984647	"Stable"
"PPP2R5C"	-0.460609899665686	5.9325004934849	-7.22019832631142	3.75959777157129e-05	0.000240375662534632	1.99138663501344	"Stable"
"SLC35A2"	0.619084017163753	5.46650921294477	7.21954969890981	3.76235367817991e-05	0.000240496566380392	2.04983359231884	"Stable"
"CLCNKB"	-3.74804963603115	-2.08991940228043	-7.21854475957178	3.76662783662789e-05	0.000240668181064859	2.37241482819878	"Down"
"AL353746.1"	-4.50176651173902	-0.0745129883630236	-7.21851147564434	3.76676948857897e-05	0.000240668181064859	2.57892871203835	"Down"
"HDHD5"	-0.802982234089082	4.08800656183507	-7.21752406117791	3.77097443140385e-05	0.000240881495611338	2.26492906464812	"Stable"
"UQCR10"	0.598164187266405	5.56946798801704	7.21686123204727	3.77379998090795e-05	0.000241006619818848	2.03295204317045	"Stable"
"AP000331.1"	3.34948636840615	-1.10904017413078	7.21348939276504	3.78820939198753e-05	0.000241871298171309	2.46263904108281	"Up"
"ANKRD13B"	0.752098581311328	4.01064689130918	7.21132380602085	3.79749551015682e-05	0.0002424085403017	2.27389646119712	"Stable"
"CLPX"	-0.467929895275062	5.25660000576347	-7.21058158869978	3.80068386485477e-05	0.000242556381790571	2.06383257312163	"Stable"
"EFCAB12"	-4.65805759350156	-0.950174199795139	-7.21003884360449	3.80301718782418e-05	0.000242649600561357	2.47624550011934	"Down"
"TRIM28"	-0.4596958349895	8.31881641114554	-7.20847485335075	3.80974968429982e-05	0.000242971542761477	1.75601209983487	"Stable"
"RAB32"	1.04622856440117	5.26149458356189	7.20846072359442	3.80981056764741e-05	0.000242971542761477	2.0720039618964	"Stable"
"INPP5J"	-1.52168457934317	1.59419571937641	-7.20680084534154	3.8169701495938e-05	0.000243342870584958	2.66835681917117	"Down"
"LMAN1"	0.655903419645927	7.95236363940399	7.20648793472373	3.81832147226752e-05	0.000243342870584958	1.7836880417222	"Stable"
"MRPS12"	0.872727896442665	4.97039213405421	7.20641690785638	3.81862827842438e-05	0.000243342870584958	2.10831393304242	"Stable"
"TFRC"	1.66755878637346	7.05005652280352	7.20629993872239	3.81913359430612e-05	0.000243342870584958	1.8728742584051	"Up"
"SH3GL3"	-2.10423581011753	-0.234023544787771	-7.20462509685873	3.82637703068507e-05	0.000243748544593881	2.62949124437636	"Down"
"AC021016.2"	1.23996715496487	1.31425515125122	7.20344144426591	3.83150516545976e-05	0.000244019314316936	2.68279290569842	"Stable"
"NUDT22"	0.661367701286065	4.99276433361633	7.20174535971778	3.83886643771799e-05	0.000244432150600381	2.09495363864903	"Stable"
"LRRN4CL"	-3.92720673488294	-2.70844422814304	-7.20053155280618	3.84414399896982e-05	0.000244712152095592	2.30195758925654	"Down"
"KLHL25"	0.786221772445223	3.47575905517953	7.20013957019616	3.84585000278944e-05	0.000244764717733035	2.36375859296048	"Stable"
"ZSWIM8"	0.476421928158769	7.08600203439165	7.19904936737	3.85059916560576e-05	0.000245010893361176	1.84847433478028	"Stable"
"ZNF286B"	-1.66571540064289	1.45975151273398	-7.19381088205861	3.87350835278377e-05	0.000246404867382431	2.66520740022509	"Down"
"MCM10"	-3.41236545511469	-1.30342265963175	-7.19355285056147	3.87464061502549e-05	0.000246404867382431	2.42466077849928	"Down"
"AC004086.1"	-0.43862824864402	9.47432395353841	-7.19343328999209	3.87516537820388e-05	0.000246404867382431	1.6563519010242	"Stable"
"C9orf116"	-2.58623267391838	1.12757721826557	-7.19230760529879	3.88010991407161e-05	0.000246627763545405	2.68619484390262	"Down"
"TBL1XR1"	-0.60794110876253	5.97688418626922	-7.19223143358046	3.88044474398025e-05	0.000246627763545405	1.95330591619405	"Stable"
"GALNT16"	-1.76324075616472	0.332381960203199	-7.18973578741071	3.89143232956332e-05	0.000247269578052646	2.67079227475314	"Down"
"SECISBP2L"	0.668823754041648	5.81901130020263	7.18787244680641	3.89965814010389e-05	0.000247735650545416	1.96792275086341	"Stable"
"PLAAT4"	-4.61585364771367	-1.12143667665541	-7.18731538423727	3.90212099369322e-05	0.000247810360664155	2.44222571785256	"Down"
"SGSH"	-0.568052297356759	5.78421060422763	-7.18720333335499	3.90261659119735e-05	0.000247810360664155	1.96936321740291	"Stable"
"TMCC2"	1.16447125828018	3.38209836925351	7.18683980464231	3.90422493888694e-05	0.000247855887330343	2.37704834287251	"Stable"
"SPPL3"	-0.63787258206537	5.47069500498607	-7.18598059344622	3.9080291858217e-05	0.000248040765900384	2.00746758201381	"Stable"
"GMPR"	-2.54317118052438	2.27558190210689	-7.18434675275275	3.91527431955224e-05	0.000248443901710337	2.60062246604175	"Down"
"SLFN12"	-0.964782195433712	2.62726643383692	-7.18262169001378	3.92293983830161e-05	0.000248873523029465	2.49640453042252	"Stable"
"HIST2H2AA3"	2.15274171529634	5.787320392763	7.18235160683206	3.9241414626992e-05	0.000248892968776948	2.00243692870752	"Up"
"IL7R"	4.88457089000602	3.30253711620141	7.18187014630573	3.92628451755197e-05	0.000248972103295439	2.59648182476372	"Up"
"RBM15B"	-0.41606029170639	7.47163391568573	-7.18146438440547	3.92809161525238e-05	0.00024902990299523	1.79197168738605	"Stable"
"FAXDC2"	-1.33462158159603	4.86455200220562	-7.18108239310396	3.92979367562474e-05	0.000249081018792846	2.10501975695611	"Stable"
"ELL2"	1.67717670995914	5.38520979496627	7.17922855719693	3.93806532517189e-05	0.000249548414839857	2.0382315670578	"Up"
"TCEAL7"	2.14709867714181	2.50933653245596	7.17685844227647	3.94866817458902e-05	0.000250163288363232	2.55086208699483	"Up"
"SLC25A17"	0.852326928575358	4.11099548723597	7.17638198269394	3.95080339291318e-05	0.000250241547023563	2.21649497103263	"Stable"
"NOLC1"	0.583673615676265	6.09840748292013	7.17448836441762	3.95930193203044e-05	0.000250700195963468	1.91868016010221	"Stable"
"RHCG"	3.39735669481547	-3.66249256708927	7.17405988693202	3.96122769339813e-05	0.000250700195963468	2.15366230683926	"Up"
"IGFN1"	3.39735669481547	-3.66249256708927	7.17405988693202	3.96122769339813e-05	0.000250700195963468	2.15366230683926	"Up"
"SEMA6C"	-1.41557042405305	3.20618448045386	-7.17396574537099	3.96165094247097e-05	0.000250700195963468	2.40020603167945	"Stable"
"NBDY"	-0.521732113879377	4.65051779887661	-7.16950568833333	3.98175932645143e-05	0.000251915357977949	2.10435104766462	"Stable"
"ACOX2"	-4.55860052179889	1.38644905670278	-7.16834904898459	3.98699220997328e-05	0.000252189047749129	2.65371377158369	"Down"
"TUT4"	-0.722837320752112	5.3007960875296	-7.16665745297205	3.99465883301169e-05	0.000252616519242036	2.00762508779163	"Stable"
"CYB561"	1.37573934149507	3.43836748743659	7.1654307238601	4.000228629304e-05	0.000252911226162863	2.35251936719435	"Stable"
"ANGEL1"	-0.535829257480943	4.64789267665522	-7.16516188339204	4.00145039144998e-05	0.000252930960638004	2.0998242013147	"Stable"
"CYB5D2"	-0.797689978715121	4.27326155860006	-7.16393037100574	4.00705226869135e-05	0.000253227489507345	2.16630507622622	"Stable"
"AC004057.1"	0.603532023984085	4.64926377304367	7.1637154346251	4.00803084114599e-05	0.000253231778161567	2.10129763683139	"Stable"
"SLC44A3"	-2.41944874099479	0.883417774623869	-7.1630704578479	4.01096888313952e-05	0.00025335983817487	2.65428700877738	"Down"
"PEX11A"	-1.85308030824016	2.0130013343262	-7.16121586213486	4.01943012985779e-05	0.000253836643631219	2.58420304709418	"Down"
"DEGS1"	0.530115089708808	6.34796546095959	7.1608593275591	4.02105897719474e-05	0.000253881848137777	1.87458595677094	"Stable"
"STX10"	-0.535185219223436	5.13465395905505	-7.16045980305833	4.02288507979578e-05	0.000253939483606814	2.02056047252798	"Stable"
"TBILA"	2.64947582285241	-0.0943982495993915	7.1600884806505	4.02458308853416e-05	0.000253989008987246	2.58224368381033	"Up"
"ATRAID"	0.547092775718473	6.59751708729803	7.15957115111598	4.02695006909508e-05	0.000254080720719895	1.84746422951	"Stable"
"LGALS3BP"	-1.01984424010595	9.04652364751565	-7.15879056200342	4.0305244307943e-05	0.000254248553363581	1.64440449651696	"Stable"
"USP11"	0.502270657002289	6.98918420395903	7.157519232071	4.03635331510161e-05	0.000254558494623986	1.80680389597602	"Stable"
"RBM5"	-0.652456955006157	6.62269450958965	-7.1558074443635	4.04421613699446e-05	0.000254980192210688	1.84036997690872	"Stable"
"LIG3"	0.600177959654942	5.10243921565534	7.15566441611714	4.04487386837857e-05	0.000254980192210688	2.02178764822434	"Stable"
"FLT1"	1.55061012545017	5.68076827192202	7.15289899207452	4.05761389011241e-05	0.000255725321460711	1.96064997203617	"Up"
"AAAS"	-0.683026226947143	4.96728453673151	-7.15057707688255	4.06834443736727e-05	0.000256343497451698	2.03470050790373	"Stable"
"STK11IP"	-0.880935657709092	4.04253114022184	-7.14730390995306	4.08352360012409e-05	0.000257233971732493	2.19000753440121	"Stable"
"TRIM13"	-0.648604067756668	4.47034686465445	-7.1471310223073	4.0843270704127e-05	0.000257233971732493	2.1088388245431	"Stable"
"EMC8"	0.538389237044331	4.75076665549971	7.14658362339884	4.08687216234522e-05	0.000257335976780279	2.06268828449979	"Stable"
"TYMP"	1.11228763696864	5.48952412866334	7.14632620908721	4.08806958823409e-05	0.000257353097057816	1.96667083194302	"Stable"
"HOTAIRM1"	1.32073423780647	2.65792020157286	7.14543423305435	4.09222178807171e-05	0.00025755617709172	2.46123258430483	"Stable"
"HSD3B7"	-1.35071225619442	2.65339842396324	-7.14495822165718	4.09443952632438e-05	0.000257637441658691	2.45829507679924	"Stable"
"GBA"	0.86088360568019	6.31471902680057	7.14387702529968	4.09948168311054e-05	0.000257896352218488	1.8602532142951	"Stable"
"METAP1D"	-1.22302541903128	1.75472171495908	-7.14346736621535	4.10139389195972e-05	0.000257958286722081	2.57585644906901	"Stable"
"AP001372.2"	-1.52595586469856	1.72282639848163	-7.14155478772919	4.11033428821547e-05	0.000258462133012482	2.58277157018715	"Down"
"EIF4E"	0.761513973214394	5.20369928365635	7.14127981616175	4.11162139233784e-05	0.000258484613238404	1.99259271926258	"Stable"
"TRABD"	-0.486179810345341	5.32081806808837	-7.14053492359955	4.11511033578853e-05	0.000258645474676618	1.97007590595963	"Stable"
"MYPOP"	0.55323236422825	3.95413687995537	7.13903580649689	4.12214170142502e-05	0.000259028863615422	2.19284731456204	"Stable"
"DPYSL2"	-1.23703682249105	5.85648446529584	-7.13773521167094	4.12825252181382e-05	0.000259299178705088	1.9090672674551	"Stable"
"AL121899.1"	4.18128002878018	-1.16008998966327	7.13772330525154	4.12830850941317e-05	0.000259299178705088	2.39071582158803	"Up"
"AC026469.1"	-3.39087362874005	-3.36471680373783	-7.13728011491538	4.13039311280148e-05	0.000259336812994041	2.1420471274619	"Down"
"ZNF235"	-1.44400790484271	1.19245945964629	-7.1371993731083	4.13077301571822e-05	0.000259336812994041	2.61522342003916	"Stable"
"ZSCAN30"	-0.642272435623628	4.05562154099119	-7.13470166320411	4.14254393446015e-05	0.00026001710302844	2.16710954381829	"Stable"
"GATD3A"	-0.533992188499194	4.81555277620584	-7.13412928568368	4.14524650609676e-05	0.000260071698824158	2.0352993186697	"Stable"
"MCOLN3"	1.96884063581291	0.241176974280454	7.13412127145518	4.14528436016927e-05	0.000260071698824158	2.60255274787009	"Up"
"DNAJC16"	0.500274016013421	5.03484903696506	7.13305121534387	4.15034199797499e-05	0.000260330272040813	2.00234148726338	"Stable"
"RTL8C"	0.452606980985782	8.13320439826208	7.13030701237959	4.16334323365101e-05	0.000261086878563148	1.67485843721519	"Stable"
"FAM8A1"	-0.426113902565405	5.53058020242953	-7.1258912435291	4.18435698133627e-05	0.000262345502193994	1.92431729227344	"Stable"
"AF117829.1"	-1.32031193737622	2.28388880427578	-7.1254183526542	4.18661420502051e-05	0.000262427850732192	2.49094000974658	"Stable"
"ANTXR2"	1.3073763689802	7.57707923120715	7.12238328729506	4.20113288916269e-05	0.000263278569114396	1.71689401977249	"Stable"
"AC013451.2"	3.36402096544441	-3.71548059821331	7.12185896209959	4.20364662111553e-05	0.000263303825682048	2.09675576358894	"Up"
"GLT8D1"	0.448878113493889	6.42354908692125	7.1218371189662	4.20375137747111e-05	0.000263303825682048	1.81827568284734	"Stable"
"ZNF486"	-1.05411231111034	2.28988775178277	-7.12170674236177	4.20437670297163e-05	0.000263303825682048	2.47934205571642	"Stable"
"ZKSCAN8"	-0.69535295157506	5.31734520028529	-7.12143503631869	4.20568021232816e-05	0.000263326151731585	1.94971242284717	"Stable"
"MIPOL1"	-1.25728442623657	1.90565348577244	-7.12047335898585	4.21029739149496e-05	0.000263543342037379	2.53401390261196	"Stable"
"NEPRO"	-0.507804510539343	5.11652598629109	-7.12031783106726	4.21104462587957e-05	0.000263543342037379	1.97373491088372	"Stable"
"EIF5A2"	1.53220635176059	3.04313545725884	7.11967700133319	4.2141250168386e-05	0.000263676778168799	2.37636791155534	"Up"
"DSG3"	4.24911593350288	0.452025643446244	7.11927191651913	4.21607347513842e-05	0.000263739345443642	2.5476859088483	"Up"
"RAB3IP"	1.22347755951461	1.8950421906775	7.11903533590723	4.21721188145905e-05	0.000263751222617747	2.53634449163726	"Stable"
"MARK2"	0.39201316468825	5.40797189356629	7.11843408547351	4.22010655407753e-05	0.000263872909473082	1.93155700604391	"Stable"
"ATG14"	-0.67076719610473	4.49494394961102	-7.11801481237963	4.22212639050717e-05	0.000263939852550455	2.07000893202606	"Stable"
"XRCC2"	-3.29883028446477	-1.35588958590671	-7.11522111342309	4.23561184045825e-05	0.000264723359936575	2.34560458074795	"Down"
"NPEPPS"	-0.618847581539064	7.01349225043781	-7.11342084720847	4.24432672133711e-05	0.0002652084243	1.75041567849657	"Stable"
"RASA4B"	-2.04817332478194	2.53827821925124	-7.11087475029332	4.25668540595269e-05	0.00026592090406183	2.464150747574	"Down"
"AC011005.4"	-2.90234738213212	-4.00718777164699	-7.10879611874321	4.2668040572125e-05	0.000266493157266062	2.00651003455829	"Down"
"RTRAF"	0.582955248998873	6.68080954107656	7.10826994223828	4.26936960083537e-05	0.000266593512510281	1.77642446941613	"Stable"
"RPL23AP53"	1.57444979040305	0.851374636789017	7.10745609419074	4.27334108610601e-05	0.000266781594612177	2.59317919350929	"Up"
"DOCK6"	-0.740880191927025	4.8925339794885	-7.10606221030501	4.28015242007145e-05	0.000267144380252287	1.99261951535628	"Stable"
"OS9"	0.384819165880759	8.82284948305078	7.10587385923129	4.28107371935623e-05	0.000267144380252287	1.59279816106981	"Stable"
"TIMM29"	0.654726338865732	4.61059269036648	7.10493218889647	4.28568303670722e-05	0.000267372004753603	2.03685129063116	"Stable"
"NYAP1"	-2.58719100714743	0.89896798154591	-7.10245579770267	4.29783034278252e-05	0.000268069696077637	2.5876901867845	"Down"
"MMP16"	-1.42767632434282	6.12205413200294	-7.10154415061067	4.30231162404542e-05	0.00026828902672843	1.83743673131331	"Stable"
"AC112198.2"	3.45580149187617	-2.69655922889808	7.10069614648166	4.30648462650913e-05	0.000268489039293078	2.20060168836611	"Up"
"YEATS4"	-1.24330758496979	1.53728008958603	-7.10049355177543	4.30748224042695e-05	0.000268491036039704	2.54805020973471	"Stable"
"RSF1"	-0.481142344089125	5.96114252194485	-7.09851244724993	4.31725082738537e-05	0.000269039615657278	1.839476764796	"Stable"
"GAP43"	2.7030321217883	0.133860722442396	7.09824189430979	4.31858676061584e-05	0.000269062566582308	2.54247541328109	"Up"
"KIAA0753"	0.675314088394188	4.58126682640911	7.09683663015977	4.32553289627735e-05	0.000269434963516774	2.03222278257965	"Stable"
"MIR4435-2HG"	1.15595495207914	4.61250343316329	7.09480233686465	4.33560982712589e-05	0.000269994375686078	2.03880867931079	"Stable"
"FAM83F"	4.66801118957299	-1.1173169139775	7.09463180210047	4.33645573550321e-05	0.000269994375686078	2.35576391158285	"Up"
"SLC50A1"	0.73981509602347	4.79733828405295	7.0936228052727	4.34146436612557e-05	0.000270245708897442	1.99455694039496	"Stable"
"RALB"	0.600423680121433	6.23253491325134	7.09205461801876	4.34926129770539e-05	0.000270670455783339	1.8028647742475	"Stable"
"SF3B5"	0.430874232521962	6.15655744321144	7.09168248105512	4.35111377557054e-05	0.000270704918653688	1.8094630735528	"Stable"
"ESRP2"	4.26449389582244	-0.513757966893136	7.09155227026267	4.35176216061996e-05	0.000270704918653688	2.39834908051789	"Up"
"NUDT17"	-1.60051522841433	0.450593374273801	-7.09033314314398	4.35783790956912e-05	0.000271022234205947	2.57000684047739	"Down"
"NELFCD"	-0.506656874798562	5.36003284233737	-7.08472751368368	4.38589363203376e-05	0.000272706078560668	1.89665589974368	"Stable"
"ZNF140"	-0.821358991269771	3.58313077621384	-7.08429511019676	4.38806592518636e-05	0.000272780150046349	2.19911183550472	"Stable"
"HSPA1B"	1.27892662741496	6.75445161577776	7.083978000874	4.3896597515594e-05	0.000272816095568301	1.74615100270846	"Stable"
"SGO1"	-3.93553571943708	-2.50709802350648	-7.08378970537456	4.39060644345877e-05	0.000272816095568301	2.21967380451789	"Down"
"MRTO4"	0.530312652799151	4.48894940601415	7.08321771452715	4.39348360000145e-05	0.000272933880656033	2.02817229462196	"Stable"
"BLNK"	4.18101001139639	-3.37006813046585	7.08147550571452	4.40225968485939e-05	0.000273417987038642	2.14730381139135	"Up"
"AC004854.2"	-1.05942538344068	2.46129635535338	-7.08108332968496	4.40423783427252e-05	0.00027346303264528	2.40612368878021	"Stable"
"PBLD"	-0.787901725955376	2.75063789075246	-7.08094181185983	4.4049518924628e-05	0.00027346303264528	2.35113271983664	"Stable"
"RSU1"	0.522249838316833	5.21744210701226	7.08007440844584	4.40933131281158e-05	0.000273673809116158	1.91162614234709	"Stable"
"MICU1"	-0.538923214257368	5.13274796905577	-7.07798960383249	4.41987663720449e-05	0.000274267105052685	1.91985585243093	"Stable"
"RBBP4"	-0.420081648408653	7.01234182382765	-7.07737372450454	4.42299711495768e-05	0.000274399504191239	1.70522213473333	"Stable"
"COX7C"	-0.467544612640372	6.40248917190818	-7.07686118180364	4.4255958438407e-05	0.000274495815258247	1.76468031818161	"Stable"
"ANKRD40"	0.534287702185764	5.06043911827512	7.07651633857394	4.42734522611807e-05	0.000274495815258247	1.92969883977901	"Stable"
"DOCK11"	-1.94015622604337	3.90686105841372	-7.07648365230134	4.42751108190044e-05	0.000274495815258247	2.17818565153171	"Down"
"AC093849.1"	-3.68097195073902	-3.21945250256129	-7.07602830441729	4.4298222986182e-05	0.000274577884162679	2.12562291931095	"Down"
"EBPL"	-1.20331529977613	4.49348931486015	-7.07535080700374	4.43326351273901e-05	0.000274729942579053	2.03055859601356	"Stable"
"SBF2"	-0.898024914388204	5.01937338744509	-7.07382090688203	4.44104504023755e-05	0.0002751508431124	1.93710709543095	"Stable"
"FERMT1"	1.19489037024002	3.66013750521877	7.07287623050753	4.44585736434216e-05	0.000275387636161502	2.18882257026888	"Stable"
"AC009570.1"	3.23837702986893	-2.42830493254313	7.07199382890853	4.45035757554537e-05	0.000275545122933256	2.19248096727523	"Up"
"SAMD8"	0.545261442954291	5.00336883988057	7.07198909303115	4.45038174168616e-05	0.000275545122933256	1.93274469742149	"Stable"
"COMTD1"	2.43682464355898	2.52970179773927	7.07117677155616	4.45452895238894e-05	0.000275740498775883	2.43764066076628	"Up"
"VMP1"	0.985427986918226	6.61080931433507	7.06994597855767	4.46082063216534e-05	0.000276037040022701	1.73962596530352	"Stable"
"HECW2-AS1"	4.84074396345339	-1.38312390328134	7.0697046063067	4.46205563421057e-05	0.000276037040022701	2.31793530895058	"Up"
"DPP8"	0.435521012999895	5.38088803689536	7.06965730731191	4.46229768719715e-05	0.000276037040022701	1.87556797200692	"Stable"
"TMEM88"	-3.54610766181876	4.45916464872349	-7.06878812212355	4.46674829324263e-05	0.000276190515781776	2.16825112267372	"Down"
"RNF8"	-0.695293659267714	4.06753565251438	-7.06878480949286	4.4667652645855e-05	0.000276190515781776	2.08548561811059	"Stable"
"KCNK13"	3.32771890939545	-3.74734063247398	7.06796324980621	4.4709764640073e-05	0.00027633081368708	2.04348374341706	"Up"
"TCEANC"	-1.58444977085606	0.634858028860782	-7.06795440346188	4.47102183261948e-05	0.00027633081368708	2.54945545839837	"Down"
"TMEM132A"	0.68524370048037	8.48638526579479	7.06748050811753	4.4734529442497e-05	0.00027641962792846	1.57098883607951	"Stable"
"TRIM67"	3.90940823824883	-3.03337384516022	7.0663959682417	4.47902211181253e-05	0.000276685304610637	2.16194285586641	"Up"
"PTPRQ"	4.0881641962447	-2.18247148425546	7.0662557577184	4.47974265035276e-05	0.000276685304610637	2.24365608667154	"Up"
"RHPN1-AS1"	-2.50969607527257	-1.61537915452014	-7.06389540431893	4.49189139665492e-05	0.000277374044360175	2.25965160336465	"Down"
"AC008755.1"	-0.429098190121256	5.65641032213473	-7.06251187719049	4.49902907134645e-05	0.000277697055132227	1.83072771126216	"Stable"
"PEG13"	-3.91134198645333	-1.61764137671288	-7.06249431891206	4.49911973448422e-05	0.000277697055132227	2.27818319500343	"Down"
"YBX1"	0.422496160344813	9.17564748375624	7.0588969509296	4.51773692362607e-05	0.000278731422833437	1.51025837370815	"Stable"
"MORN3"	-3.39161025530778	-1.67931718781003	-7.05886880546167	4.51788291271776e-05	0.000278731422833437	2.26010318588445	"Down"
"SMOC2"	-2.27097852180812	-0.557084692362555	-7.05830448699151	4.52081108667912e-05	0.000278850206468943	2.43477647417511	"Down"
"KCNC4"	1.99066372177145	4.4114189342595	7.05762804774879	4.52432376108561e-05	0.000278971208444107	2.06701445279767	"Up"
"ACAT2"	0.791002690869134	4.77132622411389	7.05754035360176	4.52477936446422e-05	0.000278971208444107	1.9555549011681	"Stable"
"KIF2A"	0.510954692183832	4.64926911524169	7.05586212256269	4.53350801539666e-05	0.000279386048483116	1.96771667129592	"Stable"
"PHLDB3"	1.06627185438293	4.84099412056684	7.05586031837064	4.53351740903336e-05	0.000279386048483116	1.94938224626138	"Stable"
"CHN1"	-2.21860106771243	2.05841009438684	-7.05517087483306	4.53710858947222e-05	0.000279545405359771	2.46440355112403	"Down"
"AL161431.1"	3.01604454747349	-3.90616328433487	7.05497765604912	4.53811558442954e-05	0.000279545507179105	1.99401704633679	"Up"
"TTLL3"	-1.14090343039298	5.07059158600961	-7.0545277755	4.54046116110952e-05	0.000279583879052972	1.91125288461854	"Stable"
"CNTROB"	-0.664581684238114	4.69266784327452	-7.05447249531029	4.54074947062945e-05	0.000279583879052972	1.95908882985003	"Stable"
"PLD2"	-0.868339917783252	4.6962746620739	-7.05401562752515	4.54313299142255e-05	0.000279668709230674	1.96262507068674	"Stable"
"GPS1"	0.405210021079361	6.64728320502131	7.05338717210351	4.54641392432522e-05	0.000279753703692456	1.71094378142039	"Stable"
"HIPK1"	0.411947918654076	5.86558520965436	7.05336573540044	4.54652588285337e-05	0.000279753703692456	1.79484782911941	"Stable"
"HGC6.3"	-2.90181240702445	-4.00718777164699	-7.05100816495494	4.55885720245306e-05	0.000280388372863105	1.95909082601963	"Down"
"AP003472.1"	-2.90181240702445	-4.00718777164699	-7.05100816495494	4.55885720245306e-05	0.000280388372863105	1.95909082601963	"Down"
"TLE3"	-0.661110994233745	6.90332190602758	-7.04919642137305	4.56835828332147e-05	0.000280910593600258	1.68164867155017	"Stable"
"SEC61A2"	0.935835609290408	2.64459809156118	7.04884980189374	4.57017846602302e-05	0.000280956414684982	2.33889358887986	"Stable"
"PSMC3"	0.414132349255489	6.40247729682154	7.04866974685739	4.57112428984701e-05	0.000280956414684982	1.73004276663742	"Stable"
"SLC25A29"	-1.52539872065249	5.46205313508847	-7.04498905645832	4.59050558301546e-05	0.000282085299980835	1.85389847270668	"Down"
"SMARCD1"	-0.419797364630171	5.88324375690771	-7.04413415098881	4.5950200106262e-05	0.000282300323498613	1.78086362470278	"Stable"
"TENM3"	-1.02693229470265	4.9384125596348	-7.04358959307904	4.5978981293064e-05	0.000282414745711274	1.91541695591664	"Stable"
"DCBLD2"	1.39097463878904	7.44381134433195	7.04275444077881	4.6023159188748e-05	0.000282623667049984	1.63085260564077	"Stable"
"LANCL3"	2.82235502155055	-3.99241885268221	7.04060534468351	4.61370545012541e-05	0.000283156567437797	1.96447325325227	"Up"
"RAP1A"	0.650177601162894	4.93106985771732	7.04055482059148	4.61397358043273e-05	0.000283156567437797	1.90664502131031	"Stable"
"DTX2"	0.67827530804587	4.07081438988237	7.04054064899476	4.61404879184586e-05	0.000283156567437797	2.05373245922354	"Stable"
"GPBAR1"	-6.1304139805842	0.603863480035235	-7.03880590776059	4.62326547983018e-05	0.000283598819373348	2.40935629895	"Down"
"LYRM9"	0.826397325452844	3.13579303439877	7.03880033019765	4.62329514572174e-05	0.000283598819373348	2.2348443979363	"Stable"
"LIX1L"	-0.528825201891729	5.86698974038783	-7.03675921359961	4.63416533212121e-05	0.000284202914038293	1.77441518922178	"Stable"
"KCNJ2-AS1"	3.30660234891313	-3.38112237039761	7.03580398202444	4.63926206660115e-05	0.000284451583786187	2.05571229341887	"Up"
"RBIS"	-0.687199630365507	3.5442325493252	-7.03561594553496	4.6402660722655e-05	0.000284451583786187	2.14484861941448	"Stable"
"PLCXD2"	2.56623704958408	2.26463156856526	7.03505018782616	4.64328831534457e-05	0.000284545200647331	2.43484166896534	"Up"
"IFT57"	-0.630696197031914	3.97508949090074	-7.03481570826794	4.64454151825838e-05	0.000284545200647331	2.05969657876205	"Stable"
"AHRR_ENSG00000286169.1"	-1.82896093336602	3.40608639051804	-7.03475552842981	4.64486321563057e-05	0.000284545200647331	2.21080838656221	"Down"
"ME1"	0.877732202490706	3.64137069750431	7.03420878960356	4.64778697342289e-05	0.00028466159599779	2.13458885041105	"Stable"
"FBXO2"	2.32983560877061	4.26188744168967	7.03384538608602	4.64973142886893e-05	0.000284717974259259	2.08848935647539	"Up"
