R022_3P	R044_3P	R022_12P	R044_12P	R046_12P	R046_3P	R058_12P	R058_3P	R085_12P	R085_3P	R171_3P	R171_12P	R209_3P	R209_12P	R212_3P	R212_12P	R218_3P	R218_12P	R219_12P	R219_3P	R225_3P	R225_12P	R227_3P	R227_12P	R243_12P	R243_3P	R256_3P	R256_12P	R280_12P	R291_12P	R280_3P	R306_12P	R291_3P	R308_12P	R306_3P	R312_12P	R308_3P	R312_3P	R317_12P	R317_3P	R330_12P	R330_3P	R334_12P	R334_3P	R345_3P	R345_12P	R356_3P	R356_12P	R358_3P	R358_12P	R361_12P	R361_3P	R364_12P	R364_3P	R382_12P	R382_3P	R393_12P	R393_3P	R438_12P	R438_3P	R479_12P	R479_3P
0	0	1	4	7	1	0	0	0	0	0	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	17	0	0	0	0	4	0	0	0	6	0	3	0	0	5	0	0	1	0	1	6	5	0	0	13	0	9	0	0	0	6	0	0	0
1409	7574	452	664	1983	190	93	180	168	268	945	3828	1192	262	12	24	3633	662	6338	2626	2268	624	27986	468	11	24	2128	298	10862	55	308	7	866	624	12	398	1016	1642	1176	1135	6932	517	1476	7	4	1669	14	702	484	2179	106	253	4985	1089	6445	865	320	31	1548	1838	607	656
0	215	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0
0	0	4	9	13	6	4	0	3	4	4	5	9	1	0	1	7	21	3	23	0	0	13	0	0	0	6	4	25	0	26	0	0	22	0	0	8	2	5	6	0	8	26	0	0	12	0	20	12	38	0	4	15	0	7	7	0	3	14	11	0	0
0	0	0	0	4	0	1	0	0	1	0	0	3	0	1	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	5	0	0	6	0	0	0	13	0	5	0	0	6	0	2	0	1	3	1	2	0	2	1	0	0	7	0	0	0
0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	129	0	1	2	2	2	0	0	2	1	0	3	0	0	0	1	2	0	0	0	0	0	25	0	0	2	2	3	0	0	0	1	3	0	0	3	3	0	1	0	0	0	0	0	1	0	5	0	7	0	0	2	1	1	2	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
0	183	2	4	9	0	6	3	0	4	8	0	4	2	0	0	4	13	7	0	8	0	0	0	1	0	2	4	13	0	6	0	0	20	0	0	7	23	8	3	38	8	14	0	0	7	2	9	5	12	0	0	14	12	25	4	0	3	5	5	0	9
0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
11	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
153	713	52	237	170	48	30	57	32	108	182	97	139	21	0	3	78	268	138	133	27	8	497	0	0	11	40	32	318	20	49	0	59	309	0	29	102	90	14	48	282	2	179	2	6	280	12	143	120	231	21	42	231	1	197	130	1	80	199	25	1	50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	9	6	1	0	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	2	0	1	0	0	3	0	0	3	0	1	0	3	0	3	1	0	3	1	1	0	0	1	0	0
86	225	0	6	0	9	2	0	1	1	1	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	9	1	1	3	4	0	1	1	0	4	2	0	0	7	4	0	0
0	0	16	85	187	19	62	51	9	37	52	134	133	72	1	8	407	209	354	8	67	128	651	0	2	26	171	96	314	6	86	1	35	222	1	2	251	193	38	67	69	30	121	0	0	123	3	177	41	242	39	18	309	0	497	72	4	6	224	102	1	44
0	0	0	8	8	6	16	5	1	3	6	0	15	0	0	5	0	24	0	0	0	18	0	0	0	3	1	0	1	0	11	0	0	18	0	0	1	6	0	0	1	0	7	0	2	11	2	8	7	16	0	7	8	1	0	8	0	12	19	1	0	0
99	230	11	40	10	0	4	3	2	9	30	0	36	4	0	0	1	15	9	7	8	0	0	0	0	1	20	2	20	5	41	0	0	28	0	0	15	8	3	12	6	2	67	0	1	41	8	19	18	91	1	4	41	0	7	31	1	1	49	9	1	0
12	131	4	12	17	0	3	3	3	2	24	0	23	9	0	0	3	13	10	0	6	3	0	0	0	4	4	2	41	2	42	3	0	18	0	0	2	12	3	10	0	7	11	0	4	30	1	19	8	41	3	4	20	0	5	17	2	6	27	11	0	1
130	469	14	24	33	14	2	8	2	13	77	110	35	13	2	3	100	16	87	91	34	21	588	12	0	0	40	11	188	10	9	0	20	13	0	2	22	58	18	28	159	3	51	10	2	49	1	38	13	52	3	7	82	23	83	30	16	4	22	26	1	11
111	49	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
0	16	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	0	4	2	0	0	1	0	3	0	6	0	0	5	0	6	4	0	0	12	5	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0
0	0	0	23	18	5	4	3	0	0	2	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	9	2	0	0	0	0	3	0	2	5	2	11	8	43	0	0	5	0	2	9	0	0	25	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	151	11	60	49	10	4	0	12	26	13	2	32	4	0	0	74	28	164	51	25	7	201	0	1	3	67	52	152	2	10	0	11	140	0	1	181	112	4	16	23	5	26	0	3	56	5	19	72	25	9	5	122	0	222	39	1	7	39	67	1	0
0	0	4	0	4	0	0	1	0	6	3	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	3	0	2	1	8	0	0	0	0	1	2	0	4	1	3	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	5	0	0	7	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	1	0	0	0	0	0	0	0	0	0	5	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	4	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	599	10	59	77	4	19	7	4	44	72	394	31	36	0	2	161	87	406	29	77	65	1447	1	2	12	49	84	677	4	13	1	17	131	0	41	218	148	60	70	73	12	53	0	0	117	0	66	63	130	1	10	127	0	239	85	7	0	32	22	0	70
399	3937	138	587	559	67	43	59	35	142	716	903	605	116	8	10	692	296	1688	536	576	158	5041	139	27	13	425	159	3125	71	167	2	252	234	3	57	337	573	228	613	1315	248	885	17	9	816	33	291	392	1116	48	69	1151	409	1209	325	64	47	269	336	80	267
425	306	5	6	6	0	3	0	0	2	7	29	5	0	0	0	0	6	0	4	12	0	1	0	0	0	0	0	13	0	4	0	3	12	0	0	2	6	0	0	2	0	14	0	0	5	0	5	7	11	0	0	7	0	0	4	0	0	26	0	0	0
139	142	4	20	39	4	0	4	3	9	12	0	64	2	1	0	3	13	5	5	3	0	15	0	0	0	6	3	14	0	21	0	0	17	1	0	10	7	1	10	10	0	31	0	0	23	0	22	6	86	0	5	45	0	13	12	0	0	40	0	0	0
454	859	0	5	4	0	0	3	3	1	7	0	3	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	4	0	0	0	0	0	0	0	0	6	0	0	1	0	1	4	14	0	0	2	0	0	0	0	0	3	1	0	0
107	225	128	607	144	186	167	96	76	109	210	0	643	49	3	5	9	229	22	64	113	0	0	0	6	14	0	1	38	44	379	0	9	288	1	0	38	33	20	32	118	45	455	2	30	224	83	306	208	849	3	133	125	1	29	249	3	41	878	22	1	20
6379	23053	11	35	25	11	1	2	2	12	17	2	44	0	1	0	14	9	31	56	10	0	29	0	0	1	0	0	27	1	19	0	0	8	0	0	13	4	1	5	3	1	49	0	1	21	2	23	5	54	2	5	46	0	7	14	1	0	24	14	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26	246	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1366	3106	76	81	81	1	15	12	32	39	242	12	403	11	4	5	31	70	21	35	54	0	23	0	0	10	14	0	77	27	119	0	37	95	0	0	19	8	2	35	314	25	729	5	2	263	1	84	90	417	1	24	182	37	13	204	0	0	272	12	0	13
141	771	4	20	23	3	3	0	1	8	34	0	33	2	0	0	14	18	14	0	0	2	86	0	0	1	2	3	1	2	11	0	7	18	0	2	6	12	0	19	0	5	45	0	0	25	0	3	7	30	0	3	85	0	14	40	0	0	17	20	0	0
98	908	0	10	5	5	2	4	0	0	4	2	4	0	0	0	0	21	8	0	0	1	0	0	0	0	0	0	12	0	0	0	0	20	0	0	1	1	0	0	0	0	16	0	0	7	3	8	4	27	0	3	32	0	1	11	0	0	88	0	0	0
0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10844	34258	3539	9955	6850	1870	1367	1670	1571	5271	9979	1294	13939	544	40	391	1709	12064	2872	698	601	409	2187	13	73	849	910	666	9284	1132	3220	69	268	18885	40	124	2352	1366	111	1176	5239	633	14265	22	92	16129	215	6580	5901	27049	279	1870	10616	103	3264	7678	277	771	19881	1574	85	166
0	0	0	2	0	0	0	0	0	2	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
752	2866	770	2091	2493	389	215	237	188	500	1764	1077	1462	334	7	42	1428	1339	2297	284	873	520	5317	145	41	65	905	303	3772	189	563	8	347	1456	9	223	1210	1302	427	2063	4872	890	2761	11	57	2383	122	1030	1172	2903	83	210	3881	186	2656	1054	84	179	8002	1259	9	223
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2818	13478	32	40	71	13	7	15	14	25	106	136	140	5	0	8	50	45	75	27	49	34	411	0	0	4	37	7	272	4	36	0	8	57	0	7	18	40	22	49	134	16	82	5	0	110	0	60	69	189	5	16	159	0	110	47	5	0	72	39	5	12
0	72	12	33	10	9	1	25	6	11	18	55	53	10	0	2	4	8	4	0	14	0	43	1	0	3	0	5	0	3	12	1	0	20	0	0	7	5	0	3	51	0	30	0	1	17	3	30	31	43	2	3	20	0	2	41	2	25	16	1	1	0
1463	3449	172	141	143	88	24	28	41	99	222	8	194	11	2	10	69	184	76	85	45	13	375	1	0	6	27	1	243	12	49	0	5	194	2	26	13	40	8	36	470	18	339	6	0	354	1	101	118	645	2	48	308	59	53	91	4	13	485	45	3	23
0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
0	13	0	9	13	1	1	2	2	1	3	0	2	10	0	0	40	18	8	2	1	9	0	23	0	0	0	0	31	0	7	0	25	6	0	12	6	3	5	13	41	3	16	0	0	9	0	10	7	34	0	1	2	0	21	1	0	0	24	5	0	14
489	802	4	12	74	1	1	1	0	6	17	13	14	24	0	0	14	88	4	0	13	10	0	1	0	0	7	1	39	5	34	1	0	6	0	3	5	8	6	18	97	17	113	1	0	149	0	116	97	276	2	2	80	0	10	43	1	0	2446	5	0	1
1029	3047	25	123	211	34	35	18	13	47	101	104	285	24	2	8	158	111	142	92	70	61	1070	1	1	13	56	55	476	4	92	4	20	147	2	93	116	123	27	101	461	49	143	2	1	118	6	63	61	265	28	16	298	22	203	60	33	35	136	70	3	29
5557	22834	15	7	17	10	5	5	3	7	23	18	31	1	0	0	9	8	12	3	2	0	8	0	0	0	5	0	5	0	9	0	0	13	0	0	0	3	0	1	12	1	27	0	0	21	0	6	4	53	0	2	36	0	1	11	0	0	19	2	0	0
69	174	10	31	17	6	5	9	0	5	49	33	24	3	1	2	1	28	7	20	0	0	42	0	0	0	21	4	121	5	12	0	13	32	0	0	19	8	0	6	105	3	32	0	0	55	3	6	11	45	3	3	10	0	23	31	0	1	55	7	1	0
0	0	0	2	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0
63	716	45	77	104	11	3	2	10	5	87	92	98	21	0	3	88	50	178	61	34	19	122	0	0	5	31	4	371	11	43	0	17	14	0	0	5	92	6	43	379	39	176	0	0	215	1	75	66	352	1	16	179	0	168	51	25	7	1407	40	1	6
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	1892	0	11	1	0	0	0	5	1	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	0	0	0	0	5	0	5	0	0	3	0	7	0	8	0	0	7	0	0	0	0	0	12	0	0	0
82	310	2	19	10	2	1	3	2	15	10	0	31	0	0	0	0	15	0	0	0	0	0	0	1	0	0	4	9	2	9	0	0	6	0	0	1	5	0	4	5	1	45	0	0	16	0	16	4	54	0	0	18	0	7	17	0	0	48	0	0	0
2992	12542	22	61	15	17	5	5	12	17	50	6	75	1	1	0	0	12	7	0	2	0	10	0	0	0	4	1	13	3	20	0	12	27	0	0	0	4	0	5	84	0	130	0	2	72	3	29	34	106	0	12	58	0	5	32	0	7	122	6	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
179	1239	11	20	18	15	7	3	3	7	36	27	95	7	0	1	19	26	53	13	38	2	136	0	0	3	29	0	104	3	35	0	5	19	0	18	10	27	19	24	68	16	68	0	0	32	0	22	16	85	0	13	113	0	61	39	0	0	33	22	0	9
30341	106898	421	949	633	179	151	90	211	328	1294	56	2629	132	21	13	108	946	199	199	81	38	159	0	3	28	76	6	445	219	3286	3	37	472	2	111	54	201	56	369	1275	181	4039	12	37	2027	91	1057	597	3589	8	337	1286	40	226	977	14	73	3564	127	24	25
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	649	142	304	178	54	84	61	58	165	318	37	689	21	5	7	34	355	56	39	11	8	30	0	0	38	21	11	179	33	491	2	15	491	0	2	36	40	1	33	382	40	980	1	3	640	13	197	183	979	4	74	263	53	47	242	3	10	621	18	2	5
263	346	17	47	34	4	6	8	3	11	52	96	25	2	1	0	28	38	11	7	1	0	46	0	0	0	0	10	0	4	8	0	0	35	0	0	8	6	0	3	31	1	55	0	3	90	4	28	32	74	0	7	29	0	34	33	1	11	163	7	0	0
0	13	0	13	2	5	0	2	1	6	13	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	25	0	3	0	0	14	0	0	0	0	0	0	33	0	24	0	2	13	0	4	10	16	0	2	8	0	0	4	1	0	42	0	0	0
1104	4973	185	390	317	76	152	172	89	296	312	2	114	22	2	22	22	576	110	0	54	28	177	0	1	95	53	28	176	47	91	1	28	1014	3	2	101	61	12	60	295	25	817	5	1	877	8	175	284	581	30	106	782	1	201	316	13	43	2228	145	1	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	0	0
81	573	11	58	14	3	9	7	12	9	63	2	40	10	0	0	7	32	14	0	2	0	16	0	0	0	16	0	27	6	7	0	2	52	0	1	7	0	8	5	66	5	49	2	4	95	3	77	30	142	1	4	29	1	27	35	0	12	419	0	0	0
0	0	0	5	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	5	0	6	0	0	1	0	2	0	10	0	0	6	0	5	0	0	6	8	0	0	0
0	0	2	5	3	0	1	0	0	1	2	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	1	0	0	4	0	0	4	0	1	0	4	0	0	2	0	0	1	0	0	0	0	0	0
0	23	26	62	48	12	7	9	11	17	30	0	61	2	0	0	4	32	27	1	0	0	0	0	0	11	11	2	25	3	1	0	1	93	0	1	10	9	1	2	6	1	38	0	0	44	2	35	24	103	0	8	43	0	8	20	0	8	53	10	0	0
716	5653	85	161	271	34	51	8	76	109	220	87	160	40	1	4	36	159	101	183	73	38	557	8	1	7	42	1	423	94	114	2	187	131	1	12	37	55	119	177	1121	63	1828	7	14	343	21	202	202	475	1	101	466	47	141	315	29	31	337	64	0	73
0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	3024	51	106	274	21	47	29	37	95	205	222	240	62	3	14	116	170	184	369	224	59	1503	171	32	1	209	23	1080	49	356	0	272	56	3	311	74	128	332	456	2563	113	1223	7	3	344	20	189	157	410	12	91	695	399	275	261	1	28	265	167	0	190
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	11	49	42	9	11	3	2	7	31	2	49	1	0	1	21	60	26	1	20	0	103	0	0	0	4	0	46	1	32	0	0	28	0	0	20	14	0	7	50	3	28	0	0	59	4	21	18	86	0	6	69	0	8	14	0	3	40	13	0	0
0	0	0	8	4	2	5	0	0	2	3	0	11	9	0	0	1	10	7	0	0	0	0	0	0	0	2	0	7	0	4	0	3	14	0	0	0	0	0	1	30	0	8	0	0	3	0	6	4	7	0	1	3	0	2	2	0	0	20	1	0	0
3203	13315	26	84	80	35	24	17	11	37	99	24	42	0	1	1	37	57	94	105	64	45	177	0	1	4	26	24	816	1	21	1	14	149	1	0	26	34	0	20	252	18	119	1	0	211	10	35	29	189	1	17	87	1	63	64	0	14	124	27	3	0
1612	7512	518	2423	1744	914	618	643	432	969	2036	177	5101	211	16	80	310	3195	358	358	131	249	655	124	41	312	136	60	1267	387	5188	13	117	2666	14	120	340	396	137	645	2774	284	4807	3	126	2365	281	2510	1279	6660	24	590	1399	251	416	1826	27	530	4213	332	9	71
0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	119	3	8	28	2	15	3	10	7	14	0	32	15	0	1	8	31	14	1	14	0	54	0	0	0	4	1	49	2	27	0	0	16	0	0	19	4	0	7	4	1	50	1	0	34	0	19	10	49	0	5	51	0	15	12	0	0	33	0	0	8
157	693	0	1	0	0	0	1	1	1	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	3	0	8	0	0	6	0	1	0	3	0	0	3	0	0	1	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4	5	0	2	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	2	1	3	1	0	1	0	0	0	0	0	7	0	0	0	0
0	210	0	5	9	0	0	8	2	5	1	0	14	0	0	0	2	5	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	11	0	0	7	3	0	0	0	1	3	0	0	11	2	2	1	3	0	0	6	0	10	3	0	0	2	1	0	4
0	4	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	6	0	0	6	0	0	4	0	0	2	0	0	0
0	169	1	0	1	1	0	0	0	5	2	0	10	0	0	0	0	1	1	3	5	0	0	0	0	0	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	7	0	0	0	0	5	0	0	4	0	0	5	0	0	0
0	0	4	17	31	8	4	12	3	15	29	0	26	8	0	2	25	54	19	46	0	5	133	0	0	6	0	15	23	0	10	0	24	48	0	12	21	19	0	16	1	1	27	0	0	25	3	35	14	36	0	13	47	0	30	39	0	6	18	31	0	0
15398	53807	5036	10374	3786	1673	2031	1541	750	3289	8550	1370	8027	698	40	393	1170	5108	3079	1907	839	269	2531	235	39	557	833	431	6131	605	2012	38	780	10564	22	144	1370	2899	286	1475	7112	460	11802	75	218	14223	781	5329	5117	13602	53	3392	7052	364	3930	7724	80	2426	21992	1091	29	505
